title,network,years,feed_access,theme_arcs,description,notable_seasons,why_notable
The Coming Storm,BBC Radio 4 / BBC Sounds,2022,free-public,media-internet-culture; political-scandal; cult-high-control-group,"Gabriel Gatehouse traces the tangled roots of QAnon and the January 6 Capitol riot back through decades of American conspiracy culture, and his own strange encounter with a militia leader.",Season 1: from the Bundy standoff to the Capitol riot,Widely acclaimed for tracing the roots of American conspiracy theory; British Podcast Award nominee
Death in Ice Valley,BBC World Service / NRK,2018,free-public,unsolved-murder; cold-case; espionage-intelligence,"Journalists Marit Higraff (NRK) and Neil McCarthy (BBC) reopen the 1970 case of the unidentified 'Isdal Woman,' found burned to death in a Norwegian valley, digging into Cold War espionage theories.",Season 1: the original Isdal Woman investigation,"Landmark BBC/NRK co-production; helped identify new leads in a 50-year-old cold case, British Podcast Award winner"
Intrigue,BBC Radio 4 / BBC Sounds,2020–,free-public,espionage-intelligence; charismatic-con-artist; institutional-coverup,"An anthology strand of stranger-than-fiction investigative sagas — con artists, spies, and hidden agendas — with each season a self-contained deep-dive led by a different BBC journalist.",Bad Blood; Million Dollar Lover; To Catch a Scorpion; The Spy Who...; Mayfair Man,One of BBC Sounds' flagship narrative-doc strands; multiple seasons have won British Podcast Awards
The Missing Cryptoqueen,BBC Radio 4 / BBC Sounds / BBC World Service,2019–2024,free-public,financial-scam; charismatic-con-artist; disappearance-missing-persons,"Jamie Bartlett investigates Dr Ruja Ignatova, the 'Cryptoqueen' who vanished after allegedly swindling billions from investors worldwide with the fake cryptocurrency OneCoin, and the global manhunt to find her.",Original 2019 series; 2024 follow-up after new FBI developments,One of BBC's biggest podcast hits; credited with reigniting the FBI hunt for Ignatova; multiple award wins
Hunting Ghislaine,Global/LBC (presented by ex-BBC journalist John Sweeney),2020,free-public,abuse-of-power; survivor-testimony; institutional-coverup,"Investigative journalist John Sweeney chases the story of Ghislaine Maxwell, tracing her relationship with Jeffrey Epstein and her alleged role in his abuse network.",Season 1: the hunt for Maxwell before and after her arrest,High-profile investigative narrative into the Epstein-Maxwell case
Fairy Meadow,BBC Radio 4 / BBC Sounds,2022,free-public,cold-case; unsolved-murder; survivor-testimony,"A narrative investigation into a horrific 1980s cold case in an Australian seaside town, and the decades-long fight for justice by the victim's family.",Season 1: the full investigation,BBC Radio 4 narrative-doc praised for sensitive handling of a decades-old case
Untold: The Daniel Morgan Murder,BBC Radio 4 / BBC Sounds,2021–,free-public,unsolved-murder; police-misconduct; institutional-coverup,"An anthology strand digging into Britain's most disturbing unsolved cases and institutional scandals, beginning with the axe-murder of private investigator Daniel Morgan and the alleged police corruption that buried it.",The Daniel Morgan Murder; other Untold investigations,Tied to the landmark Daniel Morgan Independent Panel report into Met Police corruption
The Lazarus Heist,BBC World Service,2021–2023,free-public,tech-gone-wrong; espionage-intelligence; financial-scam,"Geoff White and Jean Lee unravel the story of North Korea's Lazarus hacking group, from the Sony Pictures hack to the record-breaking Bangladesh Bank cyber-heist.",Season 1: Sony hack & Bangladesh Bank heist; Season 2: further Lazarus operations,"Award-winning; later adapted into a stage musical, one of BBC's most successful podcasts"
World of Secrets,BBC World Service,2023–,free-public,institutional-coverup; abuse-of-power; survivor-testimony,"An ongoing strand of major BBC global investigations, each season chasing a single hidden story — from a predatory 'doctor' targeting migrants to dark-web child-rescue operations.",The Doctor Who Gave Girls Away; Ghost Story; The Con Queens of Hollywood,BBC World Service's premier ongoing investigative-narrative franchise
13 Minutes to the Moon,BBC World Service,2019–2023,free-public,historical-reconstruction; science-wonder,"Presented by Kevin Fong (and later Maggie Aderin-Pocock/Tim Peake), a season-by-season narrative history of the space race, from Apollo 11's final descent to Apollo 13's near-disaster and Artemis II.",Season 1: Apollo 11; Season 2: Apollo 13; Season 4: Artemis II,Multi-award-winning; British Podcast Award and Webby honors for its Apollo 11 season
File on 4 Investigates,BBC Radio 4,2005–,free-public,institutional-coverup; corporate-fraud; abuse-of-power,"BBC's long-running investigative journalism strand, each episode a self-contained reported documentary exposing corporate wrongdoing, institutional failure, or hidden scandal.",Numerous standalone investigations across two decades,"One of BBC's longest-running investigative journalism programmes, Sony/ARIA award nominee history"
Fake Heiress,BBC Radio 4 / BBC Sounds,2019,free-public,charismatic-con-artist; financial-scam,"The story of Anna Sorokin (aka Anna Delvey), the Russian-German con artist who posed as a wealthy heiress to infiltrate elite New York social and art circles.",Season 1: full arc of the Delvey scam and unmasking,"Early narrative doc on the Anna Delvey story, predating the Netflix dramatization"
The Battersea Poltergeist,BBC Radio 4 / BBC Sounds,2021,free-public,speculative-fiction-as-journalism; historical-reconstruction,"A genre-blurring dramatized-documentary reconstruction of a real reported 1950s haunting in a South London council house, told through archive and testimony.",Season 1: the full Shepherd family haunting story,Critically praised as an innovative hybrid of drama and documentary; British Podcast Award winner
The Lovecraft Investigations,BBC Radio 4 / BBC Sounds,2018–2022,free-public,speculative-fiction-as-journalism,"A scripted narrative-fiction-as-journalism series recasting H.P. Lovecraft's mythos as modern investigative podcast reports, blending faux-documentary techniques with horror fiction.",The Case of Charles Dexter Ward; The Whisperer in Darkness; The Shadow Over Innsmouth,Acclaimed audio-drama/doc hybrid; multiple award nominations for innovative sound design
Bed of Lies,BBC Radio 5 Live / BBC Sounds,2021,free-public,charismatic-con-artist; financial-scam; abuse-of-power,An investigation into 'romance fraud' and coercive-control cases where victims were manipulated and defrauded by partners posing as someone else entirely.,Season 1: full investigation,BBC 5 Live narrative-doc exploring romance fraud ahead of the broader catfishing podcast wave
Fake Sheikh,BBC Radio 4 / BBC Sounds,2021,free-public,media-internet-culture; institutional-coverup; abuse-of-power,"The story of Mazher Mahmood, the notorious tabloid journalist who used elaborate 'fake sheikh' stings to entrap celebrities and criminals — and the collapse of his career and a court case.",Season 1: rise and fall of the Fake Sheikh,Deep dive into UK tabloid entrapment journalism and its legal fallout
Fear Thy Neighbor: Grenfell,BBC Radio 4 / BBC Sounds,2021,free-public,institutional-coverup; survivor-testimony; abuse-of-power,"A narrative documentary examining the 2017 Grenfell Tower fire, weaving survivor testimony with an investigation into the institutional failures that caused it.",Season 1: full Grenfell investigation,Part of BBC's extensive Grenfell coverage examining systemic housing and safety failures
Sirens,BBC Radio 4 / BBC Sounds,2022,free-public,serial-killer; police-misconduct; historical-reconstruction,A narrative history investigating the 1980s Yorkshire Ripper police manhunt failures and the culture that let Peter Sutcliffe evade capture for years while killing women.,Season 1: the Ripper investigation failures,Reexamines a landmark British policing failure with a survivor- and victim-centered lens
Fault Lines: How Ronald Reagan's War on Drugs Changed America,BBC World Service,2023,free-public,historical-reconstruction; political-scandal; racial-injustice,"A narrative history tracing the origins and global fallout of the US War on Drugs and its lasting effect on policing, incarceration, and international drug policy.",Season 1: full arc from Nixon/Reagan era to present,BBC World Service historical-reported strand examining US policy's global reach
The Assassination,BBC World Service,2022,free-public,political-scandal; espionage-intelligence; institutional-coverup,"A reported narrative investigation into a real political assassination, tracing conspiracy, cover-up, and the hunt for truth across international borders.",Season on the murder of Malcolm X investigators / regional assassination cases,BBC World Service international investigative-narrative strand
Fire and Fury: The Cyprus Confessions,BBC World Service,2021,free-public,institutional-coverup; survivor-testimony; abuse-of-power,"An undercover investigation into predatory doctors and coerced 'confessions' from teenage rape victims in Cyprus, examining institutional failure in the justice system.",Season 1: full investigation,Award-winning BBC investigative journalism into judicial failure and sexual assault cover-up
Fear Thy Neighbor: The Rochdale Grooming Gang,BBC Radio 4 / File on 4,2022,free-public,institutional-coverup; survivor-testimony; abuse-of-power,A narrative documentary investigation into the Rochdale child sexual exploitation scandal and the institutional failures of police and social services to protect victims.,Season 1: full investigation,Part of BBC's ongoing reporting on UK grooming-gang scandals and institutional accountability
Fake: The Story of Fyre Festival's Cousin,BBC Radio 4,2023,free-public,financial-scam; charismatic-con-artist,"A narrative investigation into a music-festival fraud scandal, tracking the promoters' deception and the fallout for defrauded ticket-holders.",Season 1,BBC narrative-doc entry in the festival-fraud genre popularized by Fyre Festival coverage
Where Is George Gibney?,BBC World Service / Second Captains,2020,free-public,abuse-of-power; institutional-coverup; survivor-testimony,"An investigation into Ireland's most notorious fugitive swimming coach, accused of decades of abuse, and the journalists' hunt to track him down in the US.",Season 1: full investigation,Co-production praised for dogged investigative reporting; led to renewed public pressure for extradition
Fake Diana: Case of the Missing Blue Diamond,BBC World Service,2020,free-public,financial-scam; charismatic-con-artist,A globe-spanning investigation into an elaborate diamond heist and the international network of thieves and fences behind it.,Season 1,BBC World Service heist-investigation narrative with international reporting scope
Uncover,CBC Podcasts,2017–,free-public,true-crime; cult-high-control-group; wrongful-conviction; cold-case,"Anthology of true-crime and investigative-journalism seasons, each hosted by a different journalist embedded in the story — cult escapes, foiled terror plots, wrongful convictions, and cold cases.","Escaping NXIVM (S1); Bomb on Board (S2); The Village (S3, Toronto Gay Village serial murders); Brainwashed (S8, CIA MKUltra); Evil by Design (S9, Peter Nygard); The Kill List (S17); Pressure Cooker (S18); Run, Hide, Repeat (S19)",One of CBC's flagship podcast franchises with 30+ seasons; Bomb on Board won the RTDNA Canada award for Best Original/Enterprise Journalism (2019); regularly charts internationally.
Someone Knows Something,CBC Podcasts,2016–,free-public,cold-case; unsolved-murder; disappearance-missing-persons; survivor-testimony,"Documentarian David Ridgen partners with families of the missing and murdered to re-investigate unsolved Canadian cold cases in real time, working alongside witnesses, suspects and sometimes police.",Season 1 (disappearance of Adrien McNaughton); Sharmini (murder of Sharmini Anandavel),"Long-running, critically acclaimed cold-case series credited in some seasons with contributing new leads to real investigations; multiple award nominations."
Missing & Murdered,CBC,2016–2018,free-public,disappearance-missing-persons; racial-injustice; institutional-coverup; unsolved-murder,"Journalist Connie Walker investigates the unsolved disappearance and murder of Indigenous women, exposing police and institutional failures across two seasons.",Who Killed Alberta Williams? (S1); Finding Cleo (S2),Peabody Award winner; widely credited with reshaping national conversation on missing and murdered Indigenous women; host Connie Walker later won a Pulitzer Prize for related reporting elsewhere.
Hunting Warhead,"CBC, in partnership with VG (Norway) and Expressen (Sweden)",2019–2020,free-public,true-crime; tech-gone-wrong; abuse-of-power,Cross-border investigative documentary following journalists and police in three countries as they work to unmask the operators of one of the dark web's largest child sexual abuse image sites.,,"Major international co-production praised as one of the standout investigative podcasts of its year, with industry award recognition."
Alone: A Love Story,CBC Podcasts,2020,free-public,family-secret; personal-mystery; survivor-testimony,"Radio producer Michelle Parise narrates a scripted memoir about the collapse of her marriage and the messy, unglamorous years of rebuilding a life alone.",,Widely praised scripted memoir podcast; nominated for/won multiple Canadian podcast awards.
The Con,CBC Podcasts,2022–,free-public,charismatic-con-artist; financial-scam,"Anthology unpacking elaborate real-life scams and the con artists behind them, including a workplace fake-pregnancy scheme that spiraled into a years-long deception.",Kaitlyn's Baby,Praised for tightly-plotted true-crime storytelling; part of CBC's growing scam-and-fraud narrative slate.
Personally,CBC Podcasts,2021–,free-public,family-secret; personal-mystery,"Anthology of deeply personal, single-narrator memoir documentaries; the season Creation Myth follows a woman's reckoning with her husband's certainty she'll change her mind about wanting children.",Creation Myth,Part of CBC's prestige narrative-memoir slate alongside Alone: A Love Story.
Recall: How to Start a Revolution,CBC Podcasts,2020,free-public,historical-reconstruction; political-scandal; war-conflict,"Scripted history documentary revisiting Quebec's 1970 October Crisis — FLQ kidnappings, the War Measures Act, soldiers in the streets — told through bombers, survivors and officials who lived it.",,Released for the 50th anniversary of the October Crisis; praised for immersive sound design and rare archival access.
Crime Story,CBC Podcasts (curated by Kathleen Goldhar),2019–,free-public,true-crime; cold-case,"A curated true-crime documentary feed presenting longform investigative and narrative crime stories, blending CBC originals with select international true-crime documentaries.",,"One of CBC's flagship true-crime aggregation feeds, regularly charting on Canadian podcast charts."
The Detectives,CBC Radio / CBC Podcasts,2011–,free-public,true-crime; unsolved-murder,"Real Canadian criminal investigations reconstructed almost entirely from actual police interrogation tapes, wiretaps and courtroom evidence, letting detectives and suspects tell the story in their own words.",,Long-running CBC Radio staple noted for its unusually raw use of primary-source audio rather than reenactment.
On Drugs,CBC Podcasts,2018,free-public,historical-reconstruction; science-wonder,"Scripted documentary anthology tracing the surprising, often bizarre histories of individual drugs — from caffeine to cocaine to opioids — and how they reshaped society.",,Praised for blending narrative history with science journalism; nominated for Canadian podcast awards.
The Fifth Estate,CBC,1975–,free-public,institutional-coverup; corporate-fraud; abuse-of-power,"Canada's longest-running investigative documentary program, adapted into podcast form; each episode is a deeply reported investigation into corporate wrongdoing, institutional failure or crime.",,One of the most decorated investigative journalism programs in Canadian broadcast history.
Ideas,CBC Radio,1965–,free-public,historical-reconstruction; science-wonder; religion-faith,"Long-running documentary program producing scripted, often single-narrator deep dives into history, science, philosophy and culture, many structured as narrative history documentaries.",,One of the longest-running and most influential documentary radio programs in the world; international radio award recognition.
The Teacher's Pet,The Australian,2018,free-public,disappearance-missing-persons; cold-case; unsolved-murder; abuse-of-power,"Journalist Hedley Thomas re-investigates the 1982 disappearance of Sydney mother Lynette Dawson, building a case that her husband, PE teacher Chris Dawson, murdered her to be with a teenage student.",Single season; widely credited with reopening the police case,One of the most downloaded true-crime podcasts globally; directly credited with prompting the reinvestigation and eventual 2022 murder conviction of Chris Dawson; Walkley and Gold Quill Award winner.
Bronwyn,The Australian,2022,free-public,disappearance-missing-persons; cult-high-control-group; cold-case,"Hedley Thomas and Claire Harvey investigate the unsolved 1993 disappearance of Bronwyn Winfield, whose husband was a member of the doomsday sect The Family led by Anne Hamilton-Byrne.",,From the team behind The Teacher's Pet; renewed police interest in the case.
Shandee's Story,The Australian,2021,free-public,unsolved-murder; cold-case; true-crime,"Hedley Thomas investigates the unsolved 2013 stabbing murder of Shandee Blackburn in Mackay, Queensland, and the trial that ended in acquittal.",,Prompted a coronial inquest into the original police investigation.
The Teacher's Trial,The Australian,2022,free-public,cold-case; true-crime,"Follow-up series to The Teacher's Pet, chronicling the murder trial and conviction of Chris Dawson for the killing of his wife Lynette.",,
Who The Hell Is Hamish?,The Australian,2021,free-public,charismatic-con-artist; financial-scam,"Reporter David Murray unravels the double life of Hamish McLaren, a charismatic con man who posed as a globe-trotting hedge-fund trader to swindle women he met on dating apps out of millions.",,Broke a major fraud story that led to McLaren's arrest and prosecution.
Trace,ABC (Australian Broadcasting Corporation),2017–2018,free-public,unsolved-murder; cold-case; institutional-coverup,"Journalist Rachael Brown reopens the unsolved 1980 murder of Maria James, a single mother killed in her Melbourne bookshop, pursuing new forensic leads including church-linked suspects.",Single season,Won a Walkley Award; directly credited with prompting Victoria Police to reopen the case.
Unravel True Crime,ABC (Australian Broadcasting Corporation),2018–2020,free-public,cold-case; unsolved-murder; disappearance-missing-persons; charismatic-con-artist,"ABC's anthology true-crime strand, with each season investigating a different unsolved Australian case in deep narrative form.",Blood on the Tracks (1988 death of Aboriginal teenager Mark Haines); Barrenjoey Road (1978 disappearance of Trudie Adams); Fool Me Once (an elaborate psychic con),Multiple Walkley Award nominations across seasons.
Expanse,ABC RN (Radio National),2019–,free-public,cold-case; unsolved-murder; historical-reconstruction,"ABC RN's narrative documentary anthology strand exploring true crimes, mysteries, and unsolved cases from regional and outback Australia.",,
The Greatest Menace,ABC (Australian Broadcasting Corporation),2022,free-public,medical-harm; institutional-coverup; abuse-of-power,"Reporter Alex Mann investigates Sydney's Chelmsford Private Hospital, where a psychiatrist's unproven 'deep sleep therapy' killed dozens of patients in the 1970s–80s despite years of warnings.",,Walkley Award-nominated; hailed as one of ABC's best-produced investigative podcasts.
Wrong Skin,ABC (Australian Broadcasting Corporation),2018,free-public,racial-injustice; unsolved-murder; institutional-coverup; civil-rights-history,"Journalist Allan Clarke investigates the 1987 disappearance and murder of two Aboriginal teenagers, Colleen Walker and Clinton Speedy-Duroux, in Bowraville, NSW, and the decades-long fight by their families for justice.",,Credited with renewing national attention on the Bowraville murders and police failures in investigating Indigenous deaths.
Phoebe's Fall,The Age / Fairfax Media,2016,free-public,personal-mystery; unsolved-murder; institutional-coverup,"Reporters Richard Baker and Michael Bachelard re-examine the 2010 death of 24-year-old Phoebe Handsjuk, who fell down a Melbourne apartment building's garbage chute, questioning the coroner's finding of misadventure.",,One of the earliest Australian narrative-investigative podcasts; prompted public scrutiny of the original inquest.
7am,Schwartz Media,2019–,free-public,political-scandal; media-internet-culture; abuse-of-power,"A daily narrative news podcast in which a single reported story — on Australian politics, power, and current affairs — is told in long-form by a journalist each morning.",,"One of Australia's most popular daily news podcasts, from the publisher of The Monthly and The Saturday Paper."
Background Briefing,ABC RN (Radio National),1980s–present,free-public,institutional-coverup; corporate-fraud; abuse-of-power,"ABC RN's flagship investigative documentary program; each episode is a deeply reported feature exposing corporate wrongdoing, institutional failure, or hidden social issues.",,Decades-long institution of Australian investigative audio journalism; regular Walkley Award winner.
Earshot,ABC RN (Radio National),2013–,free-public,personal-mystery; historical-reconstruction,"A long-running narrative documentary strand telling immersive, character-driven true stories through rich sound design, spanning crime, social issues, and personal history.",,
Days Like These,ABC RN (Radio National),2018–,free-public,personal-mystery; family-secret,"A This American Life-style narrative nonfiction show built from true personal stories submitted by everyday Australians, produced with cinematic sound design.",,
Casefile True Crime,Casefile Presents (Australian independent production),2016–,free-public,true-crime; unsolved-murder; serial-killer,"Anonymous-narrator series delivering meticulously researched, single-episode deep dives into true crime cases worldwide, from serial killers to bizarre unsolved mysteries.",The Golden State Killer episodes; the Keddie cabin murders,"One of the most popular true-crime podcasts worldwide, regularly charting in the global top 10."
Fallout,The Age / Sydney Morning Herald (Nine),2021,free-public,sports-narrative; institutional-coverup; corporate-fraud,"A narrative documentary investigating the Essendon Football Club supplements scandal, in which players were injected with an experimental, potentially banned substance under a systemic doping program.",,One of Australia's few major narrative sports-scandal podcasts.
Bondi Badlands,ABC / Kin Studio / Novel,2023,free-public,civil-rights-history; unsolved-murder; police-misconduct; abuse-of-power,"Host Patrick Abboud investigates a decades-long spate of unsolved anti-gay hate crimes and suspicious deaths at Sydney's Bondi cliffs from the 1970s to 2000s, and survivors' fight for a full police reinvestigation.",,Contributed to renewed police and public attention on the Sydney gay-hate murders inquiry.
The Night Driver,LiSTNR / Herald Sun,2022,free-public,true-crime; cold-case,A narrative true-crime series reconstructing the years-long manhunt for a serial rapist terrorising Melbourne's western suburbs in the 1990s and the detectives who pursued him.,,"Reclassified from unknown: LiSTNR/News Corp narrative podcasts are distributed free, ad-supported, on all major apps like other iHeart/indie shows."
Fool Me Once,"ABC (Unravel True Crime, season 3)",2020,free-public,charismatic-con-artist; financial-scam; abuse-of-power,"Investigates an elaborate, long-running psychic con that manipulated and defrauded a family over years, exposing the mechanics of coercive control by a self-styled clairvoyant.",,Standalone-notable season of the Unravel anthology.
Scam Inc,The Economist,2024–,early-access-paywall,financial-scam; corporate-fraud; tech-gone-wrong; abuse-of-power,"Investigative narrative series tracing the global rise of industrial-scale ""pig butchering"" scam compounds, from trafficked scam-center workers to the crypto laundering networks that profit from them.",Season 1 on pig-butchering compounds in Southeast Asia,"Widely praised as one of The Economist's most successful audio ventures, spawning multiple seasons on different scam networks. Feed note: base episodes free with ads on public RSS; Economist Podcasts+ unlocks ad-free/early access."
The Prince,The Economist,2021,early-access-paywall,political-scandal; historical-reconstruction; business-empire,"A narrative profile of Xi Jinping tracing his rise to power and the forces that shaped modern China, told through reporting and historical reconstruction.",,"Banned in China; one of The Economist's flagship narrative audio projects, later followed by companion series on other world leaders (The Prince: Searching for Putin, MBS). Feed note: free with ads on public RSS; Economist Podcasts+ unlocks ad-free/early access."
Boss Class,The Economist,2022–,early-access-paywall,business-empire; abuse-of-power,Narrative-driven exploration of management and workplace power dynamics through real case studies and reporting.,,Feed note: free with ads on public RSS; Economist Podcasts+ unlocks ad-free/early access.
Untold: The Retreat,Financial Times,2022,free-public,cult-high-control-group; abuse-of-power; institutional-coverup,An FT investigative narrative series examining a wellness retreat and the fallout from allegations against its leader.,,Part of FT's push into scripted narrative investigative audio.
Hot Money: The New Narcos,Financial Times,2022–,free-public,corporate-fraud; war-conflict; business-empire,"A narrative investigation into the cocaine trade's modern financial infrastructure and the people profiting from it, from cartels to legitimate-seeming businesses.",Season on cocaine trafficking finance; also covered sports betting fraud,FT's Hot Money franchise won acclaim for blending financial journalism with narrative crime storytelling.
Hot Money: The Case Against Neymar,Financial Times,2023,free-public,financial-scam; sports-narrative; corporate-fraud,Narrative deep-dive into fraud allegations and financial dealings surrounding the football superstar's transfer.,,
Foundering,Bloomberg,2022,free-public,corporate-fraud; tech-gone-wrong; business-empire; charismatic-con-artist,Narrative documentary series from tech-business outlet The Information reconstructing the rise and dramatic collapse of a single startup per season through interviews and reporting.,Season 1 on IRL (fake user numbers scandal),Bloomberg's flagship narrative business-collapse podcast about the failed startup IRL.
The Shift,Bloomberg,2022–,free-public,business-empire; corporate-fraud,"Narrative business journalism examining major shifts and upheavals inside companies and industries, reported like a serialized drama.",,
Fortune Favors the Bold,Bloomberg,2023,free-public,business-empire; corporate-fraud,Narrative series tracing an entrepreneur or company through triumph and disaster in pursuit of ambitious business goals.,,
Bloomberg Originals: Elon Inc.,Bloomberg,2022–,free-public,business-empire; tech-gone-wrong,"Ongoing narrative and analytical coverage of Elon Musk's business empire, tracing decisions and controversies across his companies.",,
Man in the Window: The Golden State Killer,Los Angeles Times,2020,free-public,serial-killer; cold-case; unsolved-murder,"Narrative true-crime series retracing the decades-long hunt for the Golden State Killer, built around LA Times reporter Paige St. John's original reporting and the DNA genealogy breakthrough that cracked the case.",,Credited with helping popularize genetic genealogy in cold-case journalism; widely acclaimed narrative true-crime series.
Detective Trapp,Los Angeles Times,2019,free-public,police-misconduct; survivor-testimony; institutional-coverup,"Narrative series following a Sacramento detective's obsessive pursuit of a serial rapist, and the flawed police investigation that let him operate for years.",,From the Dirty John team at LA Times; explores institutional failure in sexual assault investigations.
Room 20,Los Angeles Times,2022,free-public,unsolved-murder; cold-case; personal-mystery,Narrative investigation into an unidentified murder victim and the decades-long effort by a small-town coroner to identify her and find her killer.,,
Chasing Cosby,Los Angeles Times / Wondery,2020,early-access-paywall,survivor-testimony; abuse-of-power; institutional-coverup,"Narrative reported history of the decades of allegations against Bill Cosby, and how the justice system and media failed his accusers for years.",,Co-produced with Wondery; ad-free/early listening sits behind a Wondery+ subscription.
Slow Burn,Slate,2017–,free-public,political-scandal; historical-reconstruction; music-history,"Season-length narrative histories that revisit major American political and cultural scandals episode by episode, reconstructed largely from the participants' own words.","Season 1 (Watergate), Season 2 (Clinton impeachment), Season 3 (Biggie & Tupac), Season 5 (David Duke)",One of the most acclaimed narrative political-history podcasts; Slate's flagship narrative franchise.
Standoff: What Happened at Ruby Ridge?,Oregon Public Broadcasting / distributed w/ press partners,2021,free-public,historical-reconstruction; institutional-coverup; political-scandal,Narrative reconstruction of the 1992 Ruby Ridge siege and its role in fueling the American militia movement.,,
Black Box,The Guardian,2022,free-public,corporate-fraud; institutional-coverup,Narrative investigation into a plane crash and the hidden human and corporate failures behind it.,,Part of The Guardian's expansion into scripted investigative narrative audio.
Can I Tell You a Secret?,The Guardian / BBC (source reporting),2023,free-public,police-misconduct; survivor-testimony; abuse-of-power,Narrative investigation into a years-long catfishing and stalking campaign and the police failures that let it continue.,,Based on Guardian/BBC reporting; also adapted into a Netflix documentary.
Redhanded Presents / Today in Focus: The Coup,The Guardian,2020–,free-public,political-scandal; institutional-coverup,"Narrative multi-part investigation format used periodically by The Guardian's Today in Focus to tell single sustained stories, such as attempted coups and corporate scandals, across several episodes.",,
The Turning: The Sisters Who Left,Rococo Punch / The Atlantic (distribution partner),2020,free-public,cult-high-control-group; survivor-testimony; abuse-of-power,"Narrative investigation into a controversial dance ministry and the women who left it, and the ones who came after.",,Distributed with reporting ties to The Atlantic; explored coercive control within a religious dance group.
Radio Atlantic: The Battle for the Mormon Church,The Atlantic,2023,free-public,religion-faith; institutional-coverup; political-scandal,Narrative reported series on doctrinal upheaval and power struggles within the LDS Church.,,Companion audio to McKay Coppins' Atlantic cover investigation.
We Live Here Now,Wondery (LA Times-adjacent reporting),2024,early-access-paywall,financial-scam; unsolved-murder; personal-mystery,Narrative true-crime series about a couple whose dream home purchase unravels a web of murder and fraud connected to the property's past owner.,,
Bear Brook,New Hampshire Public Radio (NHPR),2018–2021,free-public,cold-case; serial-killer; unsolved-murder; historical-reconstruction,"Investigative series that starts with four unidentified bodies found in barrels in Bear Brook State Park and follows the DNA-genealogy breakthroughs that helped crack the case, later spinning into related cold-case seasons.",Season 1 (the original Bear Brook murders); Bear Brook: Sons of Sam & David Meirhofer season,Peabody Award winner; credited with popularizing forensic genetic genealogy in true crime journalism.
In the Dark,American Public Media (APM Reports),2016–2023,free-public,wrongful-conviction; racial-injustice; police-misconduct; cold-case,"Rigorous investigative journalism series. Season one examines the Jacob Wetterling abduction and police failures; season two dismantles the case against Curtis Flowers, a Mississippi man tried six times for the same murder.",Season 2 (Curtis Flowers case),Two-time Peabody Award winner; Season 2 won the Pulitzer Prize for Audio Reporting and directly contributed to Flowers's exoneration.
Your Own Backyard,Independent (Chris Lambert),2019–2020,free-public,disappearance-missing-persons; cold-case,"Independently produced investigation into the 1996 disappearance of Kristin Smart from Cal Poly, combining original reporting with community tips that helped reopen the case.",,Credited with generating public pressure and new evidence that led to the eventual arrest and conviction of Paul Flores.
Root of Evil: The True Story of the Hodel Family and the Black Dahlia,iHeartPodcasts / Cadence13,2020,free-public,cold-case; family-secret; serial-killer; unsolved-murder,"Two granddaughters of Dr. George Hodel investigate his alleged connection to the unsolved 1947 Black Dahlia murder and other family secrets, blending personal memoir with cold-case journalism.",Single-season arc,"Praised for its intimate first-person access to a decades-old, high-profile unsolved case."
Bardstown,iHeartPodcasts / Tenderfoot TV,2021,free-public,unsolved-murder; institutional-coverup,"Narrative investigation into two unsolved murders in the small town of Bardstown, Kentucky, examining how the killings fractured the community and whether local law enforcement mishandled the cases.",,"From the Tenderfoot TV team (Up and Vanished, Atlanta Monster); noted for deep small-town access."
To Live and Die in LA,Wondery / Tenderfoot TV,2019,early-access-paywall,disappearance-missing-persons; unsolved-murder,"Investigative series following journalist Neil Strauss's real-time search for missing actress Adea Shabani in Los Angeles, capturing the reporting process as it unfolds.",,"Notable for its real-time, in-progress investigative format rather than retrospective storytelling."
Sweet Bobby,Tortoise Media,2021,free-public,charismatic-con-artist; media-internet-culture; abuse-of-power,Journalist Alexi Mostrous investigates a years-long catfishing scheme that psychologically entrapped a London woman under the guise of a boyfriend named 'Bobby'.,,British Podcast Award winner; later adapted into the Netflix documentary 'Sweet Bobby'.
West Cork,Audible Originals,2018,subscription-only,unsolved-murder; cold-case,"Investigation into the unsolved 1996 murder of French film producer Sophie Toscan du Plantier in a remote Irish village, examining the prime suspect and the case's lingering shadow over the community.",,Critically acclaimed Audible Original (Audible subscription/credit required to hear it); later the subject of a Netflix documentary series.
Up and Vanished,Tenderfoot TV,2016–,early-access-paywall,disappearance-missing-persons; cold-case,"Filmmaker Payne Lindsey investigates cold missing-persons cases, beginning with the 2005 disappearance of Georgia beauty queen Tara Grinstead.",Season 1 (Tara Grinstead),Breakout hit credited with generating tips that led to arrests in the Grinstead case; launched Tenderfoot TV as a major true-crime studio.
Atlanta Monster,Tenderfoot TV / HowStuffWorks,2018,free-public,serial-killer; wrongful-conviction; racial-injustice,"Narrative re-investigation of the Atlanta Child Murders of 1979–1981 and the conviction of Wayne Williams, questioning whether the right man was caught.",,Highly rated Tenderfoot TV series; sparked renewed public debate over Wayne Williams's conviction.
Slow Burn (Season on crime/scandal entries),Slate,2017–,free-public,political-scandal; historical-reconstruction,"Narrative history series that reconstructs major American scandals and crimes season by season with archival tape and contemporaneous interviews, several seasons centered on murder and political corruption.","Season 4 (David Duke); Season 8 (Kanye West era, less crime-focused)",Critically acclaimed for immersive scene-setting; widely cited as a model for narrative history podcasting.
